# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight
17809203012903083532	161.871	0.777372	1.20641	75.9368	2	81.9286	48.7137	-0.619223	2.24075	184.912	0	0.26452	406.808	1.82362	1.75869	1.55808	-0.987687	-0.980181	0	3.4701
1689862303073203574	384.273	0.0688121	1.42798	197.984	2	183.097	122.698	-1.34904	0.295247	36.2957	0	0.559246	457.184	3.76146	2.00648	0.955091	0.862645	-0.935655	0	0.347503
13353112212188136138	298.259	0.763992	1.93351	248.491	4	160.835	126.063	-1.46533	0.125552	127.99	0	1.10396	680.938	5.71809	2.23801	1.42529	-0.453939	-0.966923	0	0.184435
2527862694855367457	90.5655	1.07311	2.5545	188.584	2	88.3372	85.6597	-1.72768	1.21779	122.572	0	2.13069	339.644	1.4612	1.50417	0.633607	0.0788464	-0.538937	0	0.254184
10170857568310984050	357.702	2.12829	3.00953	673.738	4	318.692	147.703	0.00314236	0.138	25.8581	0	0.486613	660.977	4.17354	0.985222	0.743483	-0.972316	-0.837246	0	0.0088869
17455969159661749231	165.461	0.489156	1.95722	97.8339	3	61.9088	52.6563	-1.73177	3.01937	108.788	0	2.56936	229.646	1.90178	0.597255	1.405	0.00719508	-0.245431	0	0.422106
3607782228761477760	219.123	0.55745	1.02873	69.9358	2	72.0877	66.1634	-2.2955	0.125385	32.3288	0	0.587853	312.37	1.67469	3.07253	2.24173	-0.0311948	-0.829029	0	0.0259698
15108287036787254152	7.9168	2.0257	3.40652	121.007	2	43.8521	34.7171	-4.33239	0.31824	54.5805	0	1.19006	238.159	5.37867	4.40747	4.77139	0.322845	-0.527912	0	0.000243463
17747050109722925460	109.367	0.742319	2.7424	305.867	2	161.741	133.15	-0.353321	2.69781	146.466	0	0.238059	454.625	2.17526	0.90781	1.8596	0.269229	-0.958075	0	0.925258
1595180189010436088	174.649	1.18644	2.03923	81.3802	2	44.6446	37.9296	-0.205986	3.16615	93.6291	0	0.25816	292.157	2.44873	0.770456	0.228282	-0.844273	0.133305	0	0.759972
3137027413433250484	123.261	0.41803	2.35004	138.733	4	75.7256	70.8957	-3.33955	1.81837	411.869	0	3.22659	463.96	0.704397	0.573013	3.42286	0.967195	-0.606408	0	0.00138554
4031025540623138204	438.277	1.23353	2.482	408.085	2	294.773	116.533	-0.65375	0.630699	24.7168	0	0.143922	506.757	2.07153	1.87525	1.20662	-0.987185	-0.824888	0	0.040594
15053077838151932078	143.989	0.838908	2.92343	666.183	3	341.506	280.482	0.0665287	0.401812	29.0556	0	0.378576	852.673	4.28361	0.757214	0.186829	-0.850979	-0.719098	0	2.09083
15523765235357193265	96.359	2.81781	4.16114	278.723	2	124.591	32.729	0.568385	5.22544	70.2217	0	0.977643	306.178	2.0921	1.32173	0.0244826	-0.502194	-0.950205	0	0.0110261
14044104500371078157	159.243	0.340946	2.11381	272.726	3	155.283	151.324	-1.00804	2.62315	97.4101	0	1.07059	497.622	5.69913	1.04001	1.01582	0.467703	-0.998218	0	0.357851
5358208756198409579	282.349	1.72287	3.39099	350.72	2	273.189	57.9606	-0.950678	1.87726	242.193	0	0.631983	696.942	2.38403	2.22972	1.28133	-0.00958352	-0.994034	0	0.329279
6508206066599821576	172.129	1.83227	3.16288	282.544	3	161.997	59.9641	-0.146305	3.75868	57.1254	0	0.511952	428.022	2.96975	0.977601	1.96864	-0.838596	0.893245	0	0.156111
10340575831392202286	1204.83	0.988904	2.04212	782.46	3	1093.94	158.231	-0.449688	1.18832	199.128	0	0.0756879	2368.95	4.17978	0.520764	0.938221	-0.417899	-0.999794	0	0.000659264
16956993866904189632	130.389	0.739162	2.82825	371.982	2	192.737	161.695	-0.173279	2.95035	103.91	0	0.777211	531.703	1.76114	0.623317	1.36429	-0.0844362	-0.48947	0	4.8919
14867468025544889847	129.983	1.21437	2.80164	228.923	3	145.655	67.93	-1.42099	2.67167	174.341	0	1.97952	440.944	3.10907	1.14806	0.248449	0.914367	-0.746313	0	0.228383
2081886907457448545	19.2513	2.83667	3.7834	367.073	3	93.4823	76.7708	0.0119954	3.43957	367.815	0	2.7681	458.903	3.54743	2.34806	2.20102	-0.994075	-0.365162	0	0.371894
13802975181560108685	153.522	1.91621	2.61482	163.283	2	75.0706	48.0707	-0.551843	4.38318	101.232	0	1.97708	264.407	5.28868	0.606747	0.040158	0.858209	-0.689409	0	4.7176
11912689201010182748	74.2875	0.305077	1.77153	103.152	3	67.4975	64.2602	-0.502686	0.315726	39.4719	0	0.731454	346.419	1.0756	1.53004	0.344345	0.99345	-0.654087	0	0.108969
9231088438966520618	306.337	2.99284	3.00509	300.919	2	165.723	30.1981	-0.244157	4.44319	90.3647	0	0.974885	361.654	5.99641	1.88887	1.19988	0.82036	-0.999945	0	0.136105
1566393988505609543	66.0336	0.696748	2.1197	93.2663	3	54.6323	47.3821	-0.0517165	4.01479	93.5256	0	0.10136	294.812	3.27581	0.899644	1.13106	-0.440788	-0.963244	0	0.338459
14715525085666906463	526.815	0.481027	0.737044	106.008	2	204.494	97.7172	-0.200486	0.972607	36.7029	0	0.0152575	412.359	4.74623	2.33435	0.324828	-0.98796	-0.999556	0	0.0197981
9072428465727453331	175.375	2.31268	3.68903	1338.42	7	503.821	292.229	-1.71367	3.737	108.234	0	1.51675	1384.9	5.32868	0.630142	2.96895	-0.0412587	-0.763585	0	0.110068
4949213179956400953	211.332	3.50772	3.96966	522.166	2	173.691	46.111	0.470055	1.93967	227.261	0	2.51801	400.147	3.24234	3.07776	1.32982	0.959932	-0.999989	0	0.501283
15158301754442308312	226.785	2.68019	3.53079	439.598	3	114.442	105.311	0.745604	4.12725	70.8352	0	1.01121	463.842	1.97759	1.9558	0.443928	-0.99941	-0.64202	0	1.74594
4329327995441146365	211.651	0.153357	2.3277	357.424	4	208.305	178.338	-0.885209	1.90794	184.942	0	1.3978	827.092	1.60759	0.623911	0.799447	-0.939508	0.0141119	0	0.000415643
18123971885876777972	75.8025	0.92177	2.78439	501.849	3	247.25	218.797	-1.19226	1.65426	117.412	0	0.790842	677.453	5.50135	1.54019	1.56097	-0.785589	-0.98991	0	0.171831
14053690710917957746	753.749	2.81183	3.45583	980.455	3	520.569	104.971	0.500531	0.304959	58.8272	0	1.32626	893.312	6.13331	1.54581	0.176074	0.883648	-0.999991	0	0.659117
1495855576180291828	429.624	0.0973851	0.91355	137.066	2	242.733	92.7688	-1.07922	5.48917	101.839	0	0.586547	596.002	5.50136	2.25134	0.837031	0.489487	-0.976552	0	2.59096
8947627607637777682	166.038	1.49512	2.09092	94.8826	2	53.574	37.0338	0.322544	3.02905	91.5695	0	0.78576	265.296	0.948807	0.409367	0.664187	-0.799282	-0.402749	0	0.040901
11655590298293050800	204.281	2.01255	3.70514	942.066	3	347.176	265.727	-1.54172	2.58446	131.312	0	0.239577	827.849	3.89417	1.90953	3.53519	0.403407	-0.999817	0	0.00910319
14193343969196487906	125.78	1.04427	1.64053	97.8868	4	61.6102	59.8424	-3.21462	3.26238	85.0962	0	1.17013	356.882	1.67647	2.42748	4.47543	-0.999863	-0.552585	0	0.114659
17214834309981107626	88.8596	0.602739	2.05306	96.6662	2	89.0484	32.8048	-2.23362	2.32055	94.1813	0	0.634182	287.662	1.9612	1.73791	1.72853	-0.565032	-0.982152	0	0.0676206
17882670007774118996	105.283	1.34602	2.92796	112.142	2	69.8244	30.4121	0.433251	4.39622	69.0339	0	0.46885	260.947	4.79828	1.13966	0.435558	0.261476	-0.792245	0	0.768712
17948323613073556470	542.081	1.62857	3.17407	1349.8	2	648.555	393.606	-0.951988	0.0702446	53.5393	0	1.01711	1217.79	0.592513	1.66972	0.927294	0.847864	-0.939262	0	-3.87343e-06
6642680333736112649	122.448	2.64156	2.65951	164.527	2	57.6397	38.4917	-0.369286	1.36975	242.114	0	3.02975	220.328	0.0937526	2.14983	1.18447	0.330504	-0.995638	0	0.921252
