# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight

12439707579978806523	12.6469	3.70613	4.8234	1353.66	4	214.778	199.631	1.47081	0.885779	39.9195	0	0.234444	833.995	1.72003	2.00947	0.296143	0.979654	-0.999996	0	1.07235e-07
16891599132716882329	214.854	4.21153	4.64847	981.839	2	223.8	63.011	0.859777	0.611918	64.6884	0	0.251578	611.609	2.23546	2.27018	1.09752	0.971749	-0.931621	0	2.19333
12840825953474626658	1174.67	3.21721	3.24439	1069.39	2	616.153	79.6763	0.116584	0.165095	58.253	0	0.63745	1057.53	3.57647	2.84316	1.01781	0.832604	-0.973155	0	0.157775
15192546462869945360	109.732	4.4881	5.3783	797.943	2	154.461	45.3067	1.19144	1.90721	174.156	0	1.76801	589.434	1.85743	2.31299	0.360874	0.887205	-0.843543	0	0.000370539
2209786481208095307	169.831	5.72634	5.76762	1033.22	3	78.1356	44.7074	2.31674	3.21006	60.9394	0	0.593145	289.699	4.07566	2.64181	3.11469	0.921812	0.751352	0	2.98742e-05
11391751796702501620	121.648	4.26324	5.10904	3301.89	3	437.039	341.741	1.00696	1.15577	95.2722	0	0.957276	1220.15	4.6982	2.42997	0.384965	0.446787	-0.816832	0	4.32604
403420588211264030	292.123	4.39913	4.38272	752.385	2	138.116	51.5317	1.41245	1.10281	81.0549	0	0.276827	603.251	0.882582	2.9895	0.78792	-0.445175	-0.997396	0	0.224944
12273168545453406155	220.468	3.51906	4.6544	1542.17	4	373.526	177.882	-0.0448066	0.980198	113.611	0	0.938749	1035.04	5.15236	0.979058	1.48982	-0.958926	-0.799924	0	-3.26478e-06
12435633030267632623	279.859	5.40308	5.79534	1931.54	3	160.942	103.804	0.35918	1.8048	125.092	0	0.0444751	547.053	2.42481	1.16911	2.77946	-0.0871163	-0.934721	0	6.55474e-12
16348683472049762472	44.5329	7.61779	8.14601	2605.01	2	102.991	32.361	2.61758	5.37132	97.6403	0	1.42228	314.565	3.21241	2.61502	0.460063	-0.929859	-0.992846	0	6.49185
9346903524597358470	101.793	2.66184	3.89455	763.603	4	316.72	112.481	-0.676662	1.11758	68.6832	0	1.54775	874.792	2.66149	0.681451	1.06759	0.47998	0.684123	0	0.000251861
2336452052031078301	708.144	5.1424	5.14163	2588.78	2	237.113	166.983	1.80864	0.609019	44.893	0	0.529143	650.532	4.29148	3.30421	0.537957	-0.828362	-0.983953	0	1.08804
4754076369600637182	456.516	4.52956	4.5207	1215.88	2	220.016	73.8913	0.777718	1.318	105.11	0	0.517955	672.334	1.24056	2.6063	1.31795	-0.629287	-0.991755	0	0.000176048
15350099619510688617	359.378	5.57284	5.57275	1610.09	2	173.324	57.2223	1.29517	4.32592	156.862	0	0.556514	600.318	5.69563	1.86971	1.36738	0.762722	-0.984633	0	2.10733e-05
